Name , Type , Argument , Short description , Default
ADD_SEED_TO_FILE_NAMES,bool,advanced,"The flag to add seed to the file names",true
ADS_OPTIMIZATION,bool,advanced,"Enable ADS",false
ANISOTROPIC_MESH,bool,advanced,"MADS uses anisotropic mesh for generating directions",true
ANISOTROPY_FACTOR,NOMAD::Double,advanced,"MADS anisotropy factor for mesh size change",0.1
BB_EXE,std::string,basic,"Blackbox executable",No default
BB_INPUT_TYPE,NOMAD::BBInputTypeList,basic,"The variable blackbox input types",\* R
BB_MAX_BLOCK_SIZE,size_t,advanced,"Size of blocks of points, to be used for parallel evaluations",1
BB_OUTPUT_TYPE,NOMAD::BBOutputTypeList,basic,"Type of outputs provided by the blackboxes",OBJ
BB_REDIRECTION,bool,basic,"Blackbox executable redirection for outputs",true
CACHE_FILE,std::string,basic,"Cache file name",No default
CACHE_SIZE_MAX,size_t,advanced,"Maximum number of evaluation points to be stored in the cache",INF
CATADS_OPTIMIZATION,bool,advanced,"Enable CatAds optimization",false
CATMADS_OPTIMIZATION,bool,advanced,"Enable CatMads optimization",false
CAT_EXTENDED_POLL_TRIGGER,NOMAD::Double,advanced,"CatMads/CatAds extended poll trigger",0.05
CAT_GROUP,NOMAD::ListOfVariableGroup,advanced,"The group of categorical variables)",No default
COOP_MADS_NB_PROBLEM,size_t,advanced,"Number of COOP-MADS problems",4
COOP_MADS_OPTIMIZATION,bool,advanced,"COOP-MADS optimization algorithm",false
COOP_MADS_OPTIMIZATION_CACHE_SEARCH,bool,advanced,"COOP-MADS cache search for incumbent synchronization",false
CS_OPTIMIZATION,bool,basic,"Coordinate Search optimization",false
DIMENSION,size_t,basic,"Dimension of the optimization problem (required)",0
DIRECTION_TYPE,NOMAD::DirectionTypeList,advanced,"Direction types for Poll steps",ORTHO N+1 QUAD
DIRECTION_TYPE_SECONDARY_POLL,NOMAD::DirectionTypeList,advanced,"Direction types for Mads secondary poll",DOUBLE
DISCO_MADS_DETECTION_RADIUS,NOMAD::Double,advanced,"Radius used to reveal discontinuities in DiscoMads",1.0
